package_name,total_tags,unique_tags
server@0.1.0,0,
setver@0.3.0,2,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
shared@0.1.2,6,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
slag@0.1.1,1,Security.Backdoor.LOLBAS.Linux
slam@0.1.0,31,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
slas@0.3.1,12,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
slog@2.8.0-beta.1,42,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration.Environment, Security.Backdoor.LOLBAS.Windows"
squote@0.1.2,5,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings"
static@0.0.4,12,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration, Security.Backdoor.LOLBAS.Windows"
stoa@0.0.0,0,
suid@1.0.0,9,Security.Backdoor.Obfuscation.LongStrings
syk@0.2.0,144,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration.Token, Security.Backdoor.LOLBAS.Windows"
synox@0.1.0,28,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration"
syr@0.1.0,0,
sys@0.0.0,0,
syscall@0.2.1,45,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.LOLBAS.Windows"
syu@0.1.0,1,Security.Backdoor.LOLBAS.Windows
tags@0.1.0,5,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.Obfuscation, Security.Backdoor.DataExfiltration.Environment"
temp-dir@0.1.11,5,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
temp-file@0.1.7,4,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
term@0.7.0,18,"Security.Backdoor.DataExfiltration.Environment, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration"
termio@0.1.0,31,Security.Backdoor.Obfuscation.LongStrings
termios@0.3.3,17,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
thread@0.1.0,1,Security.Backdoor.LOLBAS.Windows
tim@0.0.1,1,Security.Backdoor.LOLBAS.Windows
time@0.3.30,219,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
timer@0.2.0,2,Security.Backdoor.LOLBAS.Windows
tml@0.2.0,11,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
tmpdir@1.0.0,5,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
toio@0.1.4,92,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
tokio-go@0.1.4,3,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
tokio@1.34.0,314,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows, Security.Backdoor.DataExfiltration"
tokiox@0.1.0,0,
tokyo@1.0.0,13,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration"
tome@0.1.0,2,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
tompl@0.0.1,71,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
toykio@0.2.2,2,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.DataExfiltration"
traits@0.0.0--,0,
trime@0.1.1,34,"Security.Backdoor.LOLBAS.Linux, Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
turl@0.3.0,2,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.LOLBAS.Windows"
typer@0.1.1,8,"Security.Backdoor.Obfuscation.LongStrings, Security.Backdoor.DataExfiltration"
types@0.1.2,1,Security.Backdoor.Obfuscation.LongStrings
